NestID,SiteID,Year,Date,Assay,Fledged,NumberFledged,NestStage,male_raw,Male,female_raw,Female,rfit
157,1,2019,6/15/2019,1,0,0,1Laying,4,-1.587401052,21,-2.758924176,0
157,1,2019,7/5/2019,3,0,0,2Incubating,1,-1,6,-1.817120593,NA
157,1,2019,7/14/2019,4,0,0,2Incubating,15,-2.466212074,3,-1.44224957,NA
160,4,2019,6/28/2019,1,0,0,2Incubating,100,-4.641588834,10,-2.15443469,0
160,4,2019,7/11/2019,2,0,0,2Incubating,5,-1.709975947,1,-1,NA
160,4,2019,7/19/2019,3,0,0,3Provisioning,5,-1.709975947,3,-1.44224957,NA
164,8,2019,6/24/2019,1,1,1,1Laying,1,-1,1,-1,3.470588235
168,12,2019,6/12/2019,1,1,1,1Laying,8,-2,10,-2.15443469,3.470588235
168,12,2019,6/20/2019,2,1,1,2Incubating,75,-4.217163327,10,-2.15443469,NA
168,12,2019,7/17/2019,3,1,1,3Provisioning,70,-4.1212853,45,-3.556893304,NA
168,12,2019,7/26/2019,4,1,1,3Provisioning,8,-2,13,-2.351334688,NA
168,12,2019,8/9/2019,5,1,1,3Provisioning,13,-2.351334688,5,-1.709975947,NA
175,19,2019,6/18/2019,1,0,0,1Laying,70,-4.1212853,4,-1.587401052,0
179,23,2019,6/18/2019,1,0,0,1Laying,10,-2.15443469,1,-1,0
184,28,2019,6/11/2019,1,0,0,1Laying,11,-2.223980091,22,-2.802039331,0
184,28,2019,6/18/2019,2,0,0,2Incubating,15,-2.466212074,50,-3.684031499,NA
189,33,2019,6/15/2019,1,0,0,1Laying,1,-1,35,-3.27106631,0
189,33,2019,6/22/2019,2,0,0,2Incubating,1,-1,6,-1.817120593,NA
189,33,2019,7/6/2019,3,0,0,2Incubating,1,-1,15,-2.466212074,NA
189,33,2019,7/14/2019,4,0,0,2Incubating,20,-2.714417617,15,-2.466212074,NA
193,37,2019,6/18/2019,1,0,0,2Incubating,25,-2.924017738,30,-3.107232506,0
193,37,2019,6/22/2019,2,0,0,2Incubating,30,-3.107232506,3,-1.44224957,NA
193,37,2019,7/8/2019,3,0,0,2Incubating,25,-2.924017738,3,-1.44224957,NA
193,37,2019,7/15/2019,4,0,0,2Incubating,45,-3.556893304,3,-1.44224957,NA
193,37,2019,7/24/2019,6,0,0,3Provisioning,10,-2.15443469,5,-1.709975947,NA
195,39,2019,6/12/2019,1,1,1,1Laying,2,-1.25992105,40,-3.419951893,3.470588235
195,39,2019,6/20/2019,2,1,1,2Incubating,5,-1.709975947,60,-3.914867641,NA
195,39,2019,7/17/2019,4,1,1,3Provisioning,1,-1,50,-3.684031499,NA
195,39,2019,7/26/2019,5,1,1,3Provisioning,2,-1.25992105,20,-2.714417617,NA
195,39,2019,8/9/2019,6,1,1,3Provisioning,1,-1,50,-3.684031499,NA
196,40,2019,6/20/2019,1,0,0,1Laying,50,-3.684031499,30,-3.107232506,0
208,52,2019,6/19/2019,1,0,0,1Laying,45,-3.556893304,15,-2.466212074,0
214,58,2019,7/7/2019,2,0,0,2Incubating,20,-2.714417617,5,-1.709975947,0
214,58,2019,7/19/2019,3,0,0,3Provisioning,30,-3.107232506,3,-1.44224957,NA
215,59,2019,6/28/2019,1,0,0,2Incubating,80,-4.30886938,30,-3.107232506,0
215,59,2019,7/11/2019,2,0,0,2Incubating,20,-2.714417617,20,-2.714417617,NA
215,59,2019,7/19/2019,3,0,0,3Provisioning,100,-4.641588834,10,-2.15443469,NA
217,61,2019,6/19/2019,1,0,0,1Laying,40,-3.419951893,35,-3.27106631,0
217,61,2019,7/5/2019,2,0,0,2Incubating,3,-1.44224957,7,-1.912931183,NA
223,67,2019,7/8/2019,2,0,0,2Incubating,8,-2,20,-2.714417617,0
228,72,2019,6/11/2019,1,0,0,1Laying,8,-2,15,-2.466212074,0
228,72,2019,6/26/2019,3,0,0,1Laying,15,-2.466212074,80,-4.30886938,NA
231,75,2019,7/4/2019,2,0,0,2Incubating,2,-1.25992105,70,-4.1212853,0
231,75,2019,7/10/2019,3,0,0,2Incubating,1,-1,17,-2.571281591,NA
231,75,2019,7/21/2019,4,0,0,3Provisioning,0.1,-0.464158883,8,-2,NA
241,85,2019,6/18/2019,1,0,0,1Laying,20,-2.714417617,15,-2.466212074,0
244,88,2019,6/19/2019,1,0,0,2Incubating,10,-2.15443469,70,-4.1212853,0
244,88,2019,7/5/2019,2,0,0,2Incubating,3,-1.44224957,75,-4.217163327,NA
244,88,2019,7/13/2019,3,0,0,2Incubating,3,-1.44224957,13,-2.351334688,NA
251,95,2019,7/8/2019,2,0,0,2Incubating,35,-3.27106631,15,-2.466212074,0
251,95,2019,7/21/2019,3,0,0,3Provisioning,1,-1,3,-1.44224957,NA
253,97,2019,6/17/2019,1,0,0,2Incubating,4,-1.587401052,30,-3.107232506,0
254,98,2019,6/23/2019,1,0,0,2Incubating,5,-1.709975947,10,-2.15443469,0
254,98,2019,7/22/2019,3,0,0,3Provisioning,7,-1.912931183,80,-4.30886938,NA
304,151,2019,7/18/2019,2,1,2,2Incubating,4,-1.587401052,75,-4.217163327,6.941176471
304,151,2019,7/29/2019,3,1,2,3Provisioning,4,-1.587401052,20,-2.714417617,NA
304,151,2019,8/14/2019,4,1,2,3Provisioning,1,-1,25,-2.924017738,NA
318,161,2019,6/26/2019,1,0,0,1Laying,15,-2.466212074,80,-4.30886938,0
319,162,2019,7/11/2019,3,0,0,2Incubating,20,-2.714417617,20,-2.714417617,0
